source,method,sentence_count,input_dimensions,clustering_dimensions,reduction_seconds,hdbscan_seconds,total_seconds,cluster_count,noise_count,noise_fraction
skill,UMAP 10d + HDBSCAN,396,1536,10,3.1896269999997457,0.003213833000700106,3.192840833000446,13,90,0.22727272727272727
skill,direct normalized 1536d HDBSCAN,396,1536,1536,0.0,0.17861775000164926,0.17861775000164926,0,396,1.0
babilong qa1:42,UMAP 10d + HDBSCAN,686,1536,10,0.9488768330011226,0.0049573330015846295,0.9538341660027072,11,290,0.4227405247813411
babilong qa1:42,direct normalized 1536d HDBSCAN,686,1536,1536,0.0,0.5398015410009975,0.5398015410009975,0,686,1.0
